observation_id,observation_captured_at,feature_available_at,starts_at,minutes_to_start,sport,model_version,event_id,game_pk,away_team,home_team,player_id,mlb_player_id,player_name,stat_id,market_name,line,side,label,model_mean,raw_independent_probability,model_probability,push_probability,market_fair_probability,edge_pct_points,best_book,best_odds,exact_line_book_count,paired_books,ev_pct,data_quality,status,market_open_line,market_current_line,line_move_open_to_current,market_open_fair_probability,market_current_fair_probability,market_probability_move_pp,market_quote_age_minutes,player_role,player_team_side,in_starting_lineup,batting_order_spot,is_confirmed_starter,catcher_change_after_model,opposing_starter_change_after_model,opposing_handedness_change_after_model,verification_data_quality,opposing_starter_hand,own_starter_hand,own_lineup_avg_ops,opponent_lineup_avg_ops,own_bullpen_score,opponent_bullpen_score,own_bullpen_level,opponent_bullpen_level,game_starter_changed,game_lineup_changed,game_catcher_changed,game_handedness_changed,weather_impact_direction,weather_impact_multiplier,weather_environment_multiplier,prop_delay_risk,prop_weather_data_quality,weather_change_after_model,roof_status,temp_f,humidity_pct,precip_probability_pct,wind_mph,wind_direction_deg,wind_class,park_factor,run_multiplier,hr_multiplier,hits_tb_multiplier,starter_durability_multiplier,strikeout_opportunity_multiplier,game_delay_risk,game_weather_data_quality,pitchmix_available,pitchmix_weighted_xwoba_delta,pitchmix_probability_adjustment,pitchmix_arsenal_coverage,pitchmix_usable_usage,feature_source_count,won,pushed,outcome
33,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,doJ3OwfigTEzDZ1TE5sP,824953,Los Angeles Angels,Athletics,JOSE_SIRI_1_MLB,642350,Jose Siri,batting_hits,Jose Siri Hits Over/Under,0.5,over,Jose Siri OVER 0.5 Hits,1.006,0.6865,0.6565,0,0.6009,5.56,draftkings,-161,4,2,6.43,0.47,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
35,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,COLE_YOUNG_1_MLB,702284,Cole Young,batting_totalBases,Cole Young Total Bases Over/Under,1.5,over,Cole Young OVER 1.5 Total Bases,1.512,0.3694,0.3694,0,,,draftkings,187,2,0,6.03,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
37,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JP_CRAWFORD_1_MLB,641487,J.P. Crawford,batting_hits,J.P. Crawford Hits Over/Under,0.5,over,J.P. Crawford OVER 0.5 Hits,0.917,0.6473,0.6185,0,0.565,5.35,draftkings,-141,4,2,5.71,0.934,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
40,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JULIO_RODRIGUEZ_1_MLB,677594,Julio Rodríguez,batting_totalBases,Julio Rodríguez Total Bases Over/Under,1.5,over,Julio Rodríguez OVER 1.5 Total Bases,1.632,0.4013,0.4013,0,,,draftkings,163,2,0,5.55,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
41,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JEREMY_PENA_1_MLB,665161,Jeremy Peña,batting_totalBases,Jeremy Peña Total Bases Over/Under,1.5,over,Jeremy Peña OVER 1.5 Total Bases,1.949,0.4655,0.4394,0,0.3908,4.85,caesars,140,3,2,5.45,0.912,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
43,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JULIO_RODRIGUEZ_1_MLB,677594,Julio Rodríguez,batting_totalBases,Julio Rodríguez Total Bases Over/Under,0.5,over,Julio Rodríguez OVER 0.5 Total Bases,1.632,0.6846,0.6482,0,0.5807,6.75,betmgm,-160,2,2,5.34,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
45,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,COLE_YOUNG_1_MLB,702284,Cole Young,batting_hits,Cole Young Hits Over/Under,0.5,over,Cole Young OVER 0.5 Hits,0.963,0.6685,0.6313,0,0.5623,6.9,betmgm,-150,4,2,5.22,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
46,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,COLE_YOUNG_1_MLB,702284,Cole Young,batting_totalBases,Cole Young Total Bases Over/Under,0.5,over,Cole Young OVER 0.5 Total Bases,1.512,0.6685,0.6311,0,0.5617,6.94,betmgm,-150,2,2,5.18,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
47,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JEREMY_PENA_1_MLB,665161,Jeremy Peña,batting_totalBases,Jeremy Peña Total Bases Over/Under,0.5,over,Jeremy Peña OVER 0.5 Total Bases,1.949,0.7309,0.689,0,0.6113,7.77,betmgm,-190,1,1,5.16,0.912,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
48,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JULIO_RODRIGUEZ_1_MLB,677594,Julio Rodríguez,batting_hits,Julio Rodríguez Hits Over/Under,0.5,over,Julio Rodríguez OVER 0.5 Hits,1.002,0.6846,0.647,0,0.5771,6.98,betmgm,-160,4,2,5.13,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
